127.0.0.1 - - [06/Aug/2021:14:20:26 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:30 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:30 +0900] "GET /login.sis HTTP/1.1" 200 9944
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:34 +0900] "POST /login.do HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:34 +0900] "GET /index.sis HTTP/1.1" 200 21692
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:35 +0900] "POST /common/system/authority/getMenuTreeMap.do HTTP/1.1" 200 23029
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:35 +0900] "POST /home.sis HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:40 +0900] "POST /common/system/authority/getScreenPath.do HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:40 +0900] "POST /common/system/authority/getScreenPath.do HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:41 +0900] "POST /common/system/code/commonCodeManagement.sis HTTP/1.1" 200 44045
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:41 +0900] "POST /common/system/code/getCommonCodeList.do HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:41 +0900] "POST /common/system/code/getCommonCodeList.do HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:41 +0900] "POST /common/system/code/getCommonCodeList.do HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:42 +0900] "POST /common/system/code/commonCodeManagementR1.do HTTP/1.1" 200 52886
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:44 +0900] "GET /resources/framework/theme/default/imgs/dhxgrid_skyblue/ar_right_dis.gif HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:44 +0900] "GET /resources/framework/theme/default/imgs/dhxgrid_skyblue/ar_right_abs_dis.gif HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:44 +0900] "GET /resources/framework/theme/default/imgs/dhxgrid_skyblue/ar_left_abs.gif HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [06/Aug/2021:14:20:44 +0900] "GET /resources/framework/theme/default/imgs/dhxgrid_skyblue/ar_left.gif HTTP/1.1" 200 66
